system_name,template_name,directory_name
District DT6104,SHIRT,SHIRT
District DT8102,SHIRT,SHIRT
Gildan 8800,SHIRT,SHIRT
Gildan G5000,SHIRT,SHIRT
Gildan G540,SHIRT,SHIRT
Gildan G640,SHIRT,SHIRT
Hanes F260,SHIRT,SHIRT
Bella Canvas 3001C,SHIRT,SHIRT
Bella Canvas 3001CVC,SHIRT,SHIRT
Bella Canvas 3501,SHIRT,SHIRT
Bella Canvas 3501CVC,SHIRT,SHIRT
Next Level 3600,SHIRT,SHIRT
Port Authority K8000,SHIRT,SHIRT
Port Company PC850H,SHIRT,SHIRT
DataProcessing,IGNORE,IGNORE
Expedite,IGNORE,IGNORE
CALL TRACKING,IGNORE,IGNORE
Mail List Costs,IGNORE,IGNORE
Payment Plan,IGNORE,IGNORE
Unique Codes,IGNORE,IGNORE
OTHER,NO DEFAULT,OTHER
